,國文,英文,數學,社會,自然
0,6,14,8,8,10
1,8,15,8,15,11
2,15,11,7,8,7
3,13,15,8,12,14
4,10,6,6,11,6
5,11,8,8,11,9
6,15,6,9,11,12
7,13,10,10,11,9
8,10,12,6,8,12
9,15,15,8,9,6
10,12,12,9,15,12
11,11,11,12,10,8
12,11,9,10,8,14
13,10,14,6,12,11
14,7,10,9,8,12
15,9,6,11,14,14
16,9,8,11,12,10
17,8,10,6,12,9
18,7,7,8,7,7
19,8,8,10,15,15
20,8,11,14,14,14
21,13,8,11,13,6
22,13,14,8,9,9
23,9,14,14,12,15
24,15,8,8,10,8
25,12,12,7,9,15
26,11,15,15,12,6
27,8,6,15,15,8
28,10,8,10,10,12
29,13,9,11,14,10
30,11,12,8,11,10
31,9,12,8,6,12
32,14,12,11,7,15
33,14,10,12,15,6
34,12,10,8,11,9
35,9,12,14,8,13
36,8,14,6,15,8
37,12,14,9,12,6
38,10,15,6,7,13
39,8,9,8,7,12
40,6,12,7,14,10
41,15,8,9,8,6
42,7,6,9,6,8
43,9,6,9,13,11
44,15,8,7,15,6
45,15,13,11,7,11
46,14,8,7,7,8
47,14,9,15,11,7
48,10,8,11,7,11
49,6,14,13,7,10
50,12,13,9,13,12
51,13,11,14,12,9
52,13,13,9,13,13
53,14,12,10,9,6
54,15,9,7,15,6
55,14,10,9,10,7
56,15,12,7,15,13
57,10,10,7,12,14
58,8,13,13,7,11
59,8,6,8,7,13
60,10,13,13,14,6
61,14,11,7,14,14
62,15,7,10,10,9
63,9,7,13,9,13
64,10,6,8,15,15
65,7,6,7,8,8
66,11,12,8,13,7
67,14,9,11,15,8
68,14,7,10,7,11
69,10,8,8,8,11
70,6,8,9,8,10
71,11,11,8,10,9
72,8,12,8,10,10
73,12,12,12,12,15
74,15,10,7,13,6
75,6,11,7,12,10
76,14,6,7,10,15
77,15,8,13,6,11
78,9,8,10,7,14
79,9,7,14,11,9
80,9,8,12,8,12
81,11,6,13,12,9
82,15,10,8,8,9
83,9,6,15,7,11
84,14,11,8,7,7
85,8,13,10,14,15
86,15,9,7,7,10
87,13,11,9,12,14
88,9,8,13,11,12
89,8,7,12,12,8
90,11,12,7,14,11
91,12,6,14,11,9
92,12,10,6,15,6
93,8,13,14,13,14
94,7,8,13,14,7
95,9,7,7,12,14
96,12,7,11,11,14
97,9,8,8,13,14
98,15,6,9,7,11
99,10,6,15,7,9
